Symbol,CompanyID
KANSAINER,1715
CESC,616
HINDCOPPER,1338
HATSUN,1287
PSB,2596
CASTROLIND,589
PTCIL,1270757
WELCORP,3738
AADHARHFC,1284772
ERIS,1274087
GRSE,1274573
EMCURE,1284839
MANAPPURAM,1989
NXST,1284360
PFIZER,2462
CARBORUNIV,586
REDINGTON,2708
CAMS,1274786
BASF,406
SUNDRMFAST,3256
KEC,1741
SAGILITY,1285143
MANYAVAR,1275168
SKFINDIA,3096
ATUL,319
TIMKEN,3426
TVSHLTD,3252
GRINDWELL,1211
RATNAMANI,2693
ABSLAMC,1274975
ONESOURCE,1285268
BIKAJI,1275353
LMW,1860
ARE&M,157
GSPL,1255
CHALET,1274626
ASAHIINDIA,264
BIRET,1274830
KARURVYSYA,1724
CREDITACC,1274399
FIRSTCRY,1284885
IEX,1274182
VINATIORGA,3663
APLLTD,121
DOMS,1284580
VENTIVE,1285201
JINDALSAW,1624
SARDAEN,2895
TRITURBINE,3486
RPOWER,2729
DEEPAKFERT,785
ZENSARTECH,3800
APTUS,1274911
AKZOINDIA,115
CONCORDBIO,1284439
KPIL,1692
CENTURYPLY,612
SIGNATURE,1275340
NEULANDLAB,2244
JBMA,1604
NATCOPHARM,2200
KIOCL,1273580
DCMSHRIRAM,773
AARTIIND,21
BATAINDIA,408
AAVAS,1274569
VGUARD,3583
IIFL,1424
AFCONS,1285138
CIEINDIA,1975
ANANTRAJ,183
JWL,689
BLUEDART,517
BLS,1273377
WHIRLPOOL,3752
TARIL,3458
IGIL,1285192
EIDPARRY,889
GODREJAGRO,1274176
NIVABUPA,1285147
IRCON,1272265
ELGIEQUIP,910
NEWGEN,1274251
CAPLIPOINT,582
PCBL,2468
JUBLPHARMA,1660
ANANDRATHI,1275117
ACE,53
TRIDENT,3473
SCHNEIDER,2923
SAILIFE,1285187
RAINBOW,1275218
JYOTHYLAB,1667
SANOFI,342
KIRLOSBROS,1788
UTIAMC,1274795
HBLENGINE,1295
NAVA,2215
INDGN,1284767
NCC,2221
GRAVITA,1202
CGCL,2116
SOBHA,3110
VTL,3612
INDIAMART,1274674
BBTC,527
FINCABLES,788
CUB,667
MGL,1273407
SWANENERGY,3315
TEJASNET,1274086
ZENTEC,3791
CYIENT,1490
KSB,1838
MAHSCOOTER,1967
GESHIP,1204
GPIL,1162
BEML,423
ALIVUS,1274896
FINEORG,1274375
HOMEFIRST,1274827
KAJARIACER,1685
ACMESOLAR,1285145
TECHNOE,1274597
CLEAN,1274890
RBLBANK,1273471
DATAPATTNS,1275127
ECLERX,880
WELSPUNLIV,3740
CHOICEIN,644
EMBDL,1434
LTFOODS,1919
CELLO,1284546
BLUEJET,1284539
CEATLTD,596
INDIGRID,1274080
MINDACORP,2089
IWEL,1274876
ELECON,903
AVANTIFEED,341
PARADEEP,1275228
SPLPETRO,3281
id,1285444
AGARWALEYE,1285311
INGERRAND,1495
NUVOCO,1274910
FORCEMOT,1039
IFCI,1394
HFCL,1319
BALRAMCHIN,387
WESTLIFE,3749
SBFC,1284438
TTML,3374
SANOFICONR,1284994
CRAFTSMAN,1274849
RKFORGE,2662
JAIBALAJI,1571
RITES,1274374
GRANULES,1196
ZYDUSWELL,3810
LEMONTREE,1274323
TBOTEK,1284773
FINPIPE,1023
GALLANTT,1082
RRKABEL,1284488
AETHER,1275232
BSOFT,1826
KIRLOSENG,1792
JUBLINGREA,1274844
SAREGAMA,2899
SHAKTIPUMP,2955
VIJAYA,1274919
J&KBANK,1584
INTELLECT,1199533
ZEEL,3788
WAAREERTL,49530
TITAGARH,3435
RELAXO,2719
GRINFRA,1274889
NSLNISP,1284306
SAMMAANCAP,496506
SAPPHIRE,1275097
JPPOWER,1582
SONATSOFTW,3127
AZAD,1284610
RELINFRA,2727
RAYMOND,2701
MAPMYINDIA,1275122
GMDCLTD,1242
ENGINERSIN,935
JMFINANCIL,1637
ARVIND,262
RAILTEL,1274834
MARKSANS,2017
OLECTRA,1178
PRUDENT,1275224
MEDPLUS,1275123
SAFARI,2832
EUREKAFORB,1275190
CANFINHOME,578
PVRINOX,2604
JLHL,1284477
DBREALTY,755
VESUVIUS,3642
PRAJIND,2529
ANURAS,1274847
JKLAKSHMI,1633
INDIASHLTR,1284585
TEGA,1275116
BECTORFOOD,1274822
RHIM,2357
CHENNPETRO,636
HEG,1301
MAHSEAMLES,1968
ALKYLAMINE,132
GRAPHITE,1197
INOXINDIA,1284600
TRIVENI,1272591
GANESHHOUC,1091
AMIORG,1274921
GENUSPOWER,1122
STARCEMENT,1274083
INDIACEM,1420
METROPOLIS,1274652
USHAMART,3574
ABDL,1284830
HAPPSTMNDS,1274783
NAZARA,1274852
TTKPRESTIG,3488
MMTC,2099
ITDCEM,1553
GMRP&UI,1275197
ISGEC,1545
POWERMECH,1272995
TCI,3461
ALOKINDS,142
SYRMA,1275268
GARFIBRES,1103
UJJIVANSFB,1274716
PGHL,2064
SUDARSCHEM,3229
JKTYRE,1636
WABAG,3585
BIRLACORPN,490
LATENTVIEW,1275098
NETWEB,1284419
TIPSMUSIC,3429
AKUMS,1284874
SCI,2984
ACI,1275357
CCL,593
SHRIPISTON,1273371
CARTRADE,1274909
PCJEWELLER,247383
AURIONPRO,323
GABRIEL,1070
EPIGRAL,1274916
SYMPHONY,3327
ASKAUTOLTD,1284561
JUSTDIAL,400458
TIMETECHNO,3423
KPIGREEN,1274614
LLOYDSENGG,1273435
SUNDARMHLD,1274315
GRWRHITECH,1102
PRIVISCL,64
HCG,1273301
EDELWEISS,884
ASTRAMICRO,308
REDTAPE,1284457
RCF,2684
KIRLFER,1790
MANORAMA,1274568
AJAXENGG,1285320
EQUITASBNK,1274807
KTKBANK,1722
GSFC,1253
IONEXCHANG,1539
VOLTAMP,3707
HONASA,1284547
GALAXYSURF,1274259
CMSINFO,1275144
KSCL,1730
KIRLPNU,1270979
HAPPYFORGE,1284603
CAMPUS,1275219
SANDUMA,2872
PGINVIT,1274871
GNFC,1244
ORIENTCEM,475222
IIFLCAPS,1274694
SFL,1273592
SHAILY,2953
BLACKBUCK,1285151
RELIGARE,2731
ESABINDIA,953
KRBL,1828
PNCINFRA,1270850
HGINFRA,1274291
TMB,1275290
CERA,614
SHREMINVIT,1274971
PNGJL,1284976
FDC,1000
SPICEJET,3151
SWSOLAR,1274686
SANSERA,1274923
WELENT,3742
NESCO,2235
JINDWORLD,1628
CHEMPLASTS,634
MAXESTATES,1284558
TDPOWERSYS,3385
BBOX,89
NETWORK18,2241
SOUTHBANK,3131
GPPL,1248
LLOYDSENT,3003
VARROC,1274377
RUSTOMJEE,1275360
DODLA,1274883
